maintenance_id,vehicle_id,cost_type,amount,entry_date,return_date
1,1362,Preventiva,604.7,2024-04-28 04:30:29,2024-05-01 04:30:29
2,1118,Preventiva,357.46,2024-03-03 06:37:24,2024-03-06 06:37:24
3,1380,Corretiva,2527.41,2024-03-26 00:39:50,2024-04-09 00:39:50
4,921,Corretiva,1864.79,2024-03-21 07:29:32,2024-03-29 07:29:32
5,698,Preventiva,614.52,2024-05-07 00:27:11,2024-05-08 00:27:11
6,1410,Corretiva,2616.2,2024-05-01 13:54:42,2024-05-16 13:54:42
7,1416,Corretiva,881.71,2024-05-21 04:31:12,2024-05-31 04:31:12
8,1177,Corretiva,2683.4,2024-03-08 21:52:27,2024-03-11 21:52:27
9,1168,Preventiva,419.43,2024-04-08 09:28:38,2024-04-10 09:28:38
10,529,Preventiva,767.63,2024-03-03 17:04:37,2024-03-06 17:04:37
11,60,Corretiva,874.75,2024-03-20 21:30:19,2024-03-30 21:30:19
12,78,Corretiva,895.79,2024-04-15 23:41:45,2024-04-24 23:41:45
13,1659,Corretiva,974.87,2024-03-03 09:57:16,2024-03-09 09:57:16
14,1517,Corretiva,2868.33,2024-03-19 02:15:41,
15,192,Corretiva,667.27,2024-04-29 03:20:51,2024-05-03 03:20:51
16,1449,Corretiva,1087.88,2024-04-19 14:09:07,2024-04-24 14:09:07
17,668,Corretiva,532.42,2024-03-21 01:26:32,2024-03-31 01:26:32
18,489,Corretiva,1276.53,2024-04-23 14:57:22,2024-05-06 14:57:22
19,1861,Preventiva,277.66,2024-05-13 15:47:46,2024-05-16 15:47:46
20,1148,Preventiva,539.2,2024-03-01 14:11:35,2024-03-03 14:11:35
21,65,Corretiva,1542.5,2024-05-13 07:54:33,2024-05-21 07:54:33
22,1003,Preventiva,580.32,2024-05-03 12:44:11,2024-05-05 12:44:11
23,1448,Corretiva,1351.89,2024-03-31 23:06:25,2024-04-11 23:06:25
24,597,Preventiva,668.96,2024-03-15 03:34:02,2024-03-17 03:34:02
25,699,Preventiva,493.15,2024-05-27 02:33:12,2024-05-28 02:33:12
26,72,Corretiva,2701.82,2024-03-31 15:07:20,2024-04-11 15:07:20
27,465,Corretiva,1823.09,2024-03-09 10:33:24,2024-03-13 10:33:24
28,814,Preventiva,433.75,2024-03-09 19:13:42,
29,854,Preventiva,708.66,2024-05-17 02:55:39,
30,756,Preventiva,201.83,2024-04-24 22:32:15,2024-04-27 22:32:15
31,1892,Corretiva,865.3,2024-05-13 10:46:05,2024-05-24 10:46:05
32,984,Corretiva,2011.93,2024-05-06 09:44:03,2024-05-14 09:44:03
33,1970,Preventiva,563.05,2024-04-18 19:07:19,2024-04-21 19:07:19
34,196,Preventiva,679.31,2024-05-28 13:17:05,2024-05-31 13:17:05
35,1155,Corretiva,2546.47,2024-04-04 10:43:08,
36,802,Preventiva,377.66,2024-04-20 05:39:24,
37,1964,Corretiva,1421.58,2024-05-15 11:25:11,2024-05-19 11:25:11
38,464,Corretiva,1455.05,2024-04-26 06:50:49,
39,1357,Corretiva,2842.26,2024-05-18 09:58:04,2024-05-22 09:58:04
40,607,Corretiva,907.25,2024-04-22 12:56:13,
41,63,Preventiva,720.64,2024-05-04 02:47:05,2024-05-05 02:47:05
42,1139,Preventiva,699.08,2024-03-05 04:04:49,2024-03-07 04:04:49
43,88,Corretiva,1309.71,2024-03-21 17:43:47,
44,1867,Preventiva,369.75,2024-03-27 08:01:23,2024-03-30 08:01:23
45,1724,Preventiva,233.52,2024-03-08 06:15:56,2024-03-11 06:15:56
46,420,Corretiva,2817.37,2024-03-22 04:24:55,
47,319,Preventiva,341.01,2024-03-10 04:35:13,2024-03-13 04:35:13
48,1102,Corretiva,1531.6,2024-03-26 07:05:39,2024-03-30 07:05:39
49,1497,Corretiva,655.38,2024-04-27 20:20:05,2024-05-08 20:20:05
50,1210,Preventiva,693.71,2024-04-03 04:47:36,2024-04-06 04:47:36
51,1371,Preventiva,657.66,2024-04-03 16:28:30,2024-04-04 16:28:30
52,695,Preventiva,586.86,2024-03-20 01:33:48,2024-03-21 01:33:48
53,174,Preventiva,225.44,2024-03-25 07:04:46,2024-03-27 07:04:46
54,708,Preventiva,500.35,2024-05-25 05:39:13,2024-05-26 05:39:13
55,1937,Corretiva,1775.62,2024-04-28 23:18:33,2024-05-01 23:18:33
56,83,Corretiva,669.9,2024-04-25 10:20:31,2024-05-06 10:20:31
57,117,Preventiva,549.64,2024-03-16 13:46:00,
58,260,Corretiva,2746.45,2024-05-06 08:24:46,
59,654,Preventiva,204.41,2024-03-15 20:52:15,2024-03-18 20:52:15
60,1898,Corretiva,1890.66,2024-04-04 12:43:50,2024-04-11 12:43:50
61,492,Preventiva,353.77,2024-05-30 01:07:08,2024-06-02 01:07:08
62,801,Corretiva,2126.16,2024-04-28 05:45:34,2024-05-02 05:45:34
63,1361,Corretiva,962.08,2024-04-20 16:22:41,
64,333,Preventiva,655.86,2024-05-02 07:11:51,2024-05-03 07:11:51
65,918,Preventiva,690.72,2024-05-16 16:47:18,2024-05-19 16:47:18
66,179,Preventiva,734.12,2024-05-10 14:47:01,2024-05-13 14:47:01
67,669,Preventiva,207.42,2024-03-21 20:14:27,2024-03-23 20:14:27
68,1026,Preventiva,768.08,2024-03-03 22:06:24,2024-03-05 22:06:24
69,1006,Corretiva,2004.53,2024-03-29 16:56:58,
70,1492,Corretiva,1991.85,2024-03-25 08:44:45,2024-04-05 08:44:45
71,763,Preventiva,264.36,2024-03-20 04:47:11,
72,104,Preventiva,768.07,2024-05-25 19:18:53,2024-05-26 19:18:53
73,932,Corretiva,2321.87,2024-05-19 17:59:12,2024-05-28 17:59:12
